service_id,provider_id,rating_tier,service_type,state,number_approved_places,service_age_years,long_day_care,preschool_part_school,preschool_standalone,oshc_after_school,oshc_before_school,oshc_vacation_care,other_service,service_has_conditions,temporarily_closed,annual_open_days,annual_weekly_hours,school_term_open_days,school_term_weekly_hours,holiday_open_days,holiday_weekly_hours,weekly_open_days,max_weekly_hours,operating_pattern,provider_state,provider_age_years,provider_service_count,provider_has_trading_name,provider_has_conditions,provider_state_matches_service
SE-40008223,PR-00000702,Meeting NQS,Centre-Based Care,QLD,45,9.66,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,29.25,5,40,5,40,Multiple schedules,QLD,14.71,136,FALSE,FALSE,Yes
SE-40008224,PR-40023510,Meeting NQS,Centre-Based Care,WA,60,9.67,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,26.666666666666664,5,57.5,5,57.5,Multiple schedules,VIC,6.18,23,TRUE,FALSE,No
SE-40008225,PR-00001030,Meeting NQS,Centre-Based Care,QLD,60,9.66,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,27.5,5,57.5,5,57.5,Multiple schedules,QLD,14.71,104,FALSE,FALSE,Yes
SE-40008233,PR-00006557,Below NQS,Centre-Based Care,QLD,145,9.66,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,27.5,5,57.5,5,57.5,Multiple schedules,VIC,14.77,45,FALSE,FALSE,No
SE-40008246,PR-40006082,Meeting NQS,Centre-Based Care,NSW,106,9.69,Yes,No,No,No,No,No,Yes,FALSE,No,5,57.5,0,,0,,5,57.5,Annual,NSW,10.8,6,TRUE,FALSE,Yes
SE-40008253,PR-00002530,Meeting NQS,Centre-Based Care,VIC,53,9.74,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,15,5,50,5,50,Multiple schedules,VIC,14.72,76,FALSE,FALSE,Yes
SE-40008257,PR-00002530,Meeting NQS,Centre-Based Care,VIC,60,9.66,No,No,No,Yes,Yes,No,Yes,FALSE,No,5,55,5,20,0,,5,55,Multiple schedules,VIC,14.72,76,FALSE,FALSE,Yes
SE-40008262,PR-40023562,Above NQS,Centre-Based Care,WA,82,9.66,Yes,No,No,No,No,No,No,FALSE,No,6,68,0,,0,,6,68,Annual,WA,6.03,3,FALSE,FALSE,Yes
SE-40008265,PR-40012436,Meeting NQS,Centre-Based Care,VIC,139,9.7,Yes,No,No,No,No,No,No,FALSE,No,5,60,0,,0,,5,60,Annual,QLD,8.98,16,TRUE,FALSE,No
SE-40008277,PR-40008846,Meeting NQS,Centre-Based Care,QLD,110,9.55,Yes,No,No,No,No,No,No,TRUE,No,5,60,0,,0,,5,60,Annual,QLD,9.89,2,FALSE,FALSE,Yes
SE-40008302,PR-00002539,Meeting NQS,Centre-Based Care,NT,45,9.65,No,No,No,Yes,Yes,No,No,TRUE,No,0,,5,27.5,0,,5,27.5,School terms,VIC,14.35,385,FALSE,FALSE,No
SE-40008303,PR-40001129,Above NQS,Centre-Based Care,NSW,100,9.65,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25,5,42.5,5,42.5,Multiple schedules,NSW,12.81,31,TRUE,FALSE,Yes
SE-40008310,PR-40009394,Meeting NQS,Centre-Based Care,SA,50,9.77,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,21.666666666666664,5,55,5,55,Multiple schedules,SA,9.84,1,TRUE,FALSE,Yes
SE-40008322,PR-00001184,Above NQS,Centre-Based Care,QLD,30,9.59,Yes,No,No,No,No,No,No,TRUE,No,5,50,0,,0,,5,50,Annual,QLD,14.71,3,FALSE,TRUE,Yes
SE-40008331,PR-00004036,Above NQS,Centre-Based Care,NSW,110,9.62,Yes,No,No,No,No,No,No,FALSE,No,5,57.5,0,,0,,5,57.5,Annual,NSW,17.05,44,TRUE,FALSE,Yes
SE-40008332,PR-40001112,Meeting NQS,Centre-Based Care,NSW,50,9.67,Yes,No,No,No,No,No,No,FALSE,No,5,52.5,0,,0,,5,52.5,Annual,QLD,12.96,219,FALSE,TRUE,No
SE-40008335,PR-40006565,Meeting NQS,Centre-Based Care,WA,58,9.54,Yes,No,No,No,No,No,No,FALSE,No,5,57.5,0,,5,57.5,5,57.5,Multiple schedules,WA,10.54,2,TRUE,FALSE,Yes
SE-40008336,PR-40012094,Meeting NQS,Centre-Based Care,WA,50,9.65,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,30,0,,5,30,School terms,WA,9.12,6,TRUE,FALSE,Yes
SE-40008342,PR-40028718,Meeting NQS,Centre-Based Care,VIC,100,9.41,Yes,No,No,No,No,No,No,FALSE,No,5,60,0,,0,,5,60,Annual,NSW,4.37,48,FALSE,FALSE,No
SE-40008347,PR-40009448,Meeting NQS,Centre-Based Care,NSW,24,8.67,Yes,No,No,No,No,No,No,FALSE,No,5,55,0,,0,,5,55,Annual,NSW,9.55,1,TRUE,FALSE,Yes
SE-40008357,PR-00006194,Above NQS,Centre-Based Care,SA,126,8.65,Yes,Yes,No,No,No,No,No,FALSE,No,5,52.5,0,,0,,5,52.5,Annual,SA,14.71,1,TRUE,FALSE,Yes
SE-40008358,PR-40004402,Meeting NQS,Centre-Based Care,WA,35,9.76,No,No,No,Yes,Yes,No,No,TRUE,No,0,,5,26.25,0,,5,26.25,School terms,VIC,11.27,233,TRUE,FALSE,No
SE-40008360,PR-00002539,Meeting NQS,Centre-Based Care,VIC,45,9.66,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,20,5,50,5,50,Multiple schedules,VIC,14.35,385,FALSE,FALSE,Yes
SE-40008366,PR-40019086,Meeting NQS,Centre-Based Care,NSW,45,9.62,No,No,No,Yes,Yes,No,No,FALSE,No,0,,5,25,0,,5,25,School terms,NSW,7.2,1,TRUE,FALSE,Yes
SE-40008368,PR-40002209,Above NQS,Centre-Based Care,VIC,111,9.68,Yes,No,No,No,No,No,No,FALSE,No,5,60,0,,0,,5,60,Annual,VIC,12.09,1,TRUE,FALSE,Yes
SE-40008370,PR-40011145,Meeting NQS,Centre-Based Care,VIC,30,9.57,No,No,No,Yes,No,Yes,No,FALSE,No,0,,5,14.166666666666668,5,50,5,50,Multiple schedules,VIC,9.26,499,TRUE,FALSE,Yes
SE-40008371,PR-40002838,Meeting NQS,Centre-Based Care,NSW,60,8.76,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,37.5,0,,5,37.5,School terms,NSW,11.66,2,TRUE,FALSE,Yes
SE-40008377,PR-00007540,Meeting NQS,Centre-Based Care,WA,46,9.55,Yes,No,Yes,Yes,Yes,No,No,FALSE,No,5,55,5,25,5,55,5,55,Multiple schedules,WA,14.13,2,TRUE,FALSE,Yes
SE-40008378,PR-00002539,Meeting NQS,Centre-Based Care,NSW,23,9.63,No,No,No,Yes,Yes,No,No,FALSE,No,0,,5,25.416666666666664,0,,5,25.416666666666664,School terms,VIC,14.35,385,FALSE,FALSE,No
SE-40008381,PR-00003335,Meeting NQS,Centre-Based Care,NSW,44,9.64,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25.416666666666664,5,55,5,55,Multiple schedules,NSW,17.05,11,TRUE,FALSE,Yes
SE-40008387,PR-00008029,Meeting NQS,Centre-Based Care,QLD,100,8.18,Yes,No,No,No,No,No,No,TRUE,No,5,57.5,0,,0,,5,57.5,Annual,QLD,13.86,182,TRUE,FALSE,Yes
SE-40008393,PR-00002530,Meeting NQS,Centre-Based Care,NSW,24,9.74,No,No,No,Yes,No,No,No,FALSE,No,0,,5,14.583333333333332,0,,5,14.583333333333332,School terms,VIC,14.72,76,FALSE,FALSE,No
SE-40008396,PR-00001946,Meeting NQS,Centre-Based Care,VIC,45,9.62,No,No,No,Yes,No,Yes,No,TRUE,No,5,15,5,15,0,,5,15,Multiple schedules,VIC,14.72,56,FALSE,FALSE,Yes
SE-40008403,PR-40020995,Meeting NQS,Centre-Based Care,NSW,50,9.59,Yes,No,No,No,No,No,No,FALSE,No,5,55,0,,0,,5,55,Annual,NSW,6.86,2,TRUE,FALSE,Yes
SE-40008404,PR-40004402,Meeting NQS,Centre-Based Care,VIC,75,9.75,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,21.25,5,55,5,55,Multiple schedules,VIC,11.27,233,TRUE,FALSE,Yes
